Highlight;Title;Author;URL;Note;Location;Date
W przyszłości na świecie będą dwa rodzaje ludzi: ci, którzy pozwalają, by ich uwaga i życie były kontrolowane i sterowane przez innych, oraz ci, którzy z dumą będą nazywać się „nierozpraszalnymi”;Nierozpraszalni;Nir Eyal;;2 rodzaje ludzi;12;2023.02.01 23:28
Wyrzeczenie się technologii internetowych nie poskutkowało. Po prostu zastąpiłem jedną rozrywkę inną.;Nierozpraszalni;Nir Eyal;;its not technology;15;2023.02.01 23:33
Rozumiemy, że chcąc być bardziej produktywnymi, musimy przestać marnować czas i faktycznie zajmować się pracą. Wiemy, co trzeba robić. Nie wiemy tylko, jak przestać się dekoncentrować.;Nierozpraszalni;Nir Eyal;;we know what not how;15;2023.02.01 23:33
dlaczego nie powinieneś mówić, że coś Cię rozprasza, dopóki nie określisz, od czego odciąga to Twoją uwagę;Nierozpraszalni;Nir Eyal;;deconcetrare from what else;16;2023.02.01 23:36
Czas, który planujesz stracić, nie jest czasem straconym[;Nierozpraszalni;Nir Eyal;;czas control;16;2023.02.01 23:36
Unikania rozpraszających bodźców trzeba się nauczyć. Aby wieść życie, na jakim nam zależy, należy nie tylko robić rzeczy właściwe, lecz także nie robić takich, których będziemy żałować.Problem nie dotyczy wyłącznie nowoczesnej technologii. Nierozpraszalność nie wymaga bycia luddytą. Chodzi o zrozumienie prawdziwych powodów postępowania wbrew swoim interesom.Co trzeba zrobić? Nierozpraszalność można osiągnąć dzięki nauce i stosowaniu czterech fundamentalnych strategii postępowania;Nierozpraszalni;Nir Eyal;;zapamietaj 1;17;2023.02.01 23:39
Trudno o lepszy wizerunek ludzkiej kondycji. Nieustannie po coś sięgamy: więcej pieniędzy, kolejne doświadczenia, wiedzę, wyższy status społeczny, więcej rzeczy. Dawni Grecy sądzili, że to część przekleństwa związanego z byciem omylnym śmiertelnikiem, i wykorzystali przytoczoną historię, by przedstawić potęgę niezaspokojonych ludzkich pragnień.;Nierozpraszalni;Nir Eyal;;niezaspokojone ludzkie pragnienia;18;2023.02.01 23:41
Bogactwo informacji oznacza niedostatek czegoś innego (…) ubóstwo uwagi”[6].;Nierozpraszalni;Nir Eyal;;bogactwo to ubostwo uwagi;22;2023.02.01 23:46
Naukowcy informują, że uwaga i koncentracja są surowcami niezbędnymi do rozkwitu i kreatywności[7]. W epoce postępującej automatyzacji najbardziej rozchwytywani specjaliści to ci, którzy potrafią kreatywnie podchodzić do problemów, proponować nowatorskie rozwiązania i cechują się tego rodzaju pomysłowością, która wynika z głębokiego skupienia na określonym zadaniu.;Nierozpraszalni;Nir Eyal;;rozkwit kreatywnosc;22;2023.02.01 23:48
Klątwą była ślepota na fakt, że wcale tych rzeczy nie potrzebował. To prawdziwy morał tego mitu;Nierozpraszalni;Nir Eyal;;you don't need this;22;2023.02.01 23:49
